,name,category,brand,price,stock,rating
0,iPhone 13,Smartphone,Apple,599,25,4.6
1,iPhone 13 Pro,Smartphone,Apple,699,15,4.7
2,iPhone 13 Pro Max,Smartphone,Apple,799,12,4.8
3,iPhone 14,Smartphone,Apple,699,30,4.6
4,iPhone 14 Plus,Smartphone,Apple,799,22,4.6
5,iPhone 14 Pro,Smartphone,Apple,899,16,4.8
6,iPhone 14 Pro Max,Smartphone,Apple,999,10,4.9
7,iPhone 15,Smartphone,Apple,799,35,4.7
8,iPhone 15 Plus,Smartphone,Apple,899,24,4.7
9,iPhone 15 Pro,Smartphone,Apple,999,18,4.8
10,iPhone 15 Pro Max,Smartphone,Apple,1199,12,4.9
11,iPhone 16,Smartphone,Apple,899,30,4.8
12,iPhone 16 Plus,Smartphone,Apple,999,20,4.7
13,iPhone 16 Pro,Smartphone,Apple,1099,15,4.9
14,iPhone 16 Pro Max,Smartphone,Apple,1299,9,4.9
15,iPhone 16e,Smartphone,Apple,699,28,4.6
16,iPhone 17,Smartphone,Apple,899,20,4.8
17,iPhone 17 Air,Smartphone,Apple,999,14,4.7
18,iPhone 17 Pro,Smartphone,Apple,1199,10,4.9
19,iPhone 17 Pro Max,Smartphone,Apple,1399,7,4.9
20,Galaxy A15,Smartphone,Samsung,199,40,4.2
21,Galaxy A25,Smartphone,Samsung,299,35,4.3
22,Galaxy A35,Smartphone,Samsung,399,30,4.4
23,Galaxy A55,Smartphone,Samsung,449,25,4.5
24,Galaxy S22,Smartphone,Samsung,699,25,4.5
25,Galaxy S22 Plus,Smartphone,Samsung,799,18,4.6
26,Galaxy S22 Ultra,Smartphone,Samsung,999,12,4.8
27,Galaxy S23,Smartphone,Samsung,699,30,4.6
28,Galaxy S23 Plus,Smartphone,Samsung,799,20,4.7
29,Galaxy S23 Ultra,Smartphone,Samsung,999,15,4.9
30,Galaxy S24,Smartphone,Samsung,749,35,4.6
31,Galaxy S24 Plus,Smartphone,Samsung,849,22,4.7
32,Galaxy S24 Ultra,Smartphone,Samsung,1299,14,4.9
33,Galaxy S24 FE,Smartphone,Samsung,649,25,4.5
34,Galaxy S25,Smartphone,Samsung,799,30,4.7
35,Galaxy S25 Plus,Smartphone,Samsung,999,18,4.8
36,Galaxy S25 Ultra,Smartphone,Samsung,1299,12,4.9
37,Galaxy Z Flip 5,Smartphone,Samsung,999,12,4.6
38,Galaxy Z Fold 5,Smartphone,Samsung,1799,6,4.7
39,Galaxy Z Flip 6,Smartphone,Samsung,1099,15,4.7
40,Galaxy Z Fold 6,Smartphone,Samsung,1899,7,4.8
41,Pixel 6,Smartphone,Google,499,20,4.4
42,Pixel 6 Pro,Smartphone,Google,699,15,4.5
43,Pixel 7,Smartphone,Google,499,25,4.6
44,Pixel 7 Pro,Smartphone,Google,699,18,4.7
45,Pixel 7a,Smartphone,Google,399,30,4.5
46,Pixel 8,Smartphone,Google,599,28,4.7
47,Pixel 8 Pro,Smartphone,Google,899,15,4.8
48,Pixel 8a,Smartphone,Google,499,25,4.6
49,Pixel 9,Smartphone,Google,799,22,4.7
50,Pixel 9 Pro,Smartphone,Google,999,14,4.8
51,Pixel 9 Pro XL,Smartphone,Google,1099,10,4.9
52,Pixel 9a,Smartphone,Google,499,30,4.6
53,Pixel Fold,Smartphone,Google,1799,5,4.5
54,Xiaomi 12,Smartphone,Xiaomi,499,25,4.4
55,Xiaomi 12 Pro,Smartphone,Xiaomi,699,18,4.5
56,Xiaomi 13,Smartphone,Xiaomi,599,30,4.6
57,Xiaomi 13 Pro,Smartphone,Xiaomi,799,20,4.7
58,Xiaomi 13 Ultra,Smartphone,Xiaomi,999,10,4.8
59,Xiaomi 14,Smartphone,Xiaomi,699,30,4.7
60,Xiaomi 14 Pro,Smartphone,Xiaomi,899,18,4.8
61,Xiaomi 14 Ultra,Smartphone,Xiaomi,1099,10,4.9
62,Xiaomi 14T,Smartphone,Xiaomi,549,25,4.6
63,Xiaomi 14T Pro,Smartphone,Xiaomi,749,18,4.7
64,Xiaomi 15,Smartphone,Xiaomi,699,30,4.7
65,Xiaomi 15 Pro,Smartphone,Xiaomi,899,20,4.8
66,Xiaomi 15 Ultra,Smartphone,Xiaomi,1199,12,4.9
67,Redmi Note 12,Smartphone,Redmi,249,40,4.3
68,Redmi Note 12 Pro,Smartphone,Redmi,349,35,4.4
69,Redmi Note 13,Smartphone,Redmi,249,45,4.4
70,Redmi Note 13 Pro,Smartphone,Redmi,349,35,4.5
71,Redmi Note 13 Pro Plus,Smartphone,Redmi,449,25,4.6
72,Redmi Note 14,Smartphone,Redmi,279,40,4.4
73,Redmi Note 14 Pro,Smartphone,Redmi,399,30,4.5
74,Redmi Note 14 Pro Plus,Smartphone,Redmi,499,20,4.6
75,OnePlus 10 Pro,Smartphone,OnePlus,699,15,4.5
76,OnePlus 11,Smartphone,OnePlus,699,25,4.6
77,OnePlus 11 Pro,Smartphone,OnePlus,799,15,4.7
78,OnePlus 12,Smartphone,OnePlus,799,25,4.8
79,OnePlus 12R,Smartphone,OnePlus,499,35,4.6
80,OnePlus 13,Smartphone,OnePlus,899,20,4.8
81,OnePlus 13R,Smartphone,OnePlus,599,30,4.7
82,OnePlus Open,Smartphone,OnePlus,1699,7,4.6
83,OPPO Find X5 Pro,Smartphone,OPPO,799,12,4.5
84,OPPO Find X6 Pro,Smartphone,OPPO,899,15,4.7
85,OPPO Find X7 Ultra,Smartphone,OPPO,1099,10,4.8
86,OPPO Reno 8,Smartphone,OPPO,399,30,4.3
87,OPPO Reno 10,Smartphone,OPPO,449,28,4.4
88,OPPO Reno 11,Smartphone,OPPO,499,25,4.5
89,OPPO Reno 12,Smartphone,OPPO,549,22,4.6
90,OPPO Reno 13,Smartphone,OPPO,599,20,4.7
91,vivo X80 Pro,Smartphone,vivo,799,12,4.5
92,vivo X90 Pro,Smartphone,vivo,899,15,4.7
93,vivo X100 Pro,Smartphone,vivo,999,12,4.8
94,vivo X200 Pro,Smartphone,vivo,1099,10,4.9
95,vivo V27,Smartphone,vivo,399,30,4.4
96,vivo V29,Smartphone,vivo,449,28,4.5
97,vivo V30,Smartphone,vivo,499,25,4.6
98,vivo V40,Smartphone,vivo,549,25,4.6
99,Huawei P50 Pro,Smartphone,Huawei,699,15,4.4
100,Huawei P60 Pro,Smartphone,Huawei,899,12,4.6
101,Huawei Pura 70,Smartphone,Huawei,799,18,4.7
102,Huawei Pura 70 Pro,Smartphone,Huawei,999,10,4.8
103,Huawei Mate 50 Pro,Smartphone,Huawei,899,10,4.5
104,Huawei Mate 60 Pro,Smartphone,Huawei,999,12,4.7
105,Huawei Mate X3,Smartphone,Huawei,1799,5,4.5
106,Motorola Edge 30,Smartphone,Motorola,399,25,4.3
107,Motorola Edge 40,Smartphone,Motorola,449,28,4.4
108,Motorola Edge 50 Pro,Smartphone,Motorola,599,20,4.6
109,Motorola Edge 50 Ultra,Smartphone,Motorola,799,15,4.7
110,Motorola Razr 40,Smartphone,Motorola,699,12,4.5
111,Motorola Razr 50,Smartphone,Motorola,799,15,4.6
112,Moto G84,Smartphone,Motorola,299,35,4.3
113,Moto G85,Smartphone,Motorola,349,30,4.4
114,Sony Xperia 1 IV,Smartphone,Sony,999,8,4.4
115,Sony Xperia 1 V,Smartphone,Sony,1199,7,4.6
116,Sony Xperia 1 VI,Smartphone,Sony,1299,6,4.7
117,Sony Xperia 5 V,Smartphone,Sony,999,8,4.5
118,Sony Xperia 10 V,Smartphone,Sony,399,20,4.2
119,Sony Xperia 10 VI,Smartphone,Sony,449,18,4.3
120,Nothing Phone 1,Smartphone,Nothing,399,25,4.4
121,Nothing Phone 2,Smartphone,Nothing,599,20,4.6
122,Nothing Phone 2a,Smartphone,Nothing,349,30,4.5
123,Nothing Phone 3,Smartphone,Nothing,699,15,4.7
124,Realme GT 2 Pro,Smartphone,Realme,499,20,4.4
125,Realme GT 3,Smartphone,Realme,599,18,4.5
126,Realme GT 5 Pro,Smartphone,Realme,699,20,4.7
127,Realme GT 6,Smartphone,Realme,649,22,4.7
128,Realme GT 7,Smartphone,Realme,699,20,4.8
129,Realme 11 Pro,Smartphone,Realme,349,30,4.4
130,Realme 12 Pro,Smartphone,Realme,399,28,4.5
131,Realme 13 Pro,Smartphone,Realme,449,25,4.6
132,Honor Magic 5 Pro,Smartphone,Honor,799,15,4.6
133,Honor Magic 6 Pro,Smartphone,Honor,999,12,4.8
134,Honor Magic 7 Pro,Smartphone,Honor,1099,10,4.9
135,Honor 90,Smartphone,Honor,399,25,4.4
136,Honor 200,Smartphone,Honor,499,25,4.6
137,Honor 400,Smartphone,Honor,549,20,4.7
138,ASUS ROG Phone 6,Smartphone,ASUS,899,10,4.5
139,ASUS ROG Phone 7,Smartphone,ASUS,999,8,4.7
140,ASUS ROG Phone 8,Smartphone,ASUS,1099,10,4.8
141,ASUS ROG Phone 9,Smartphone,ASUS,1199,8,4.9
142,ASUS Zenfone 9,Smartphone,ASUS,699,12,4.5
143,ASUS Zenfone 10,Smartphone,ASUS,799,10,4.6
144,ASUS Zenfone 11,Smartphone,ASUS,899,10,4.7
145,Tecno Phantom X2,Smartphone,Tecno,499,20,4.3
146,Tecno Phantom V Fold,Smartphone,Tecno,899,8,4.4
147,Tecno Phantom V Flip,Smartphone,Tecno,699,10,4.4
148,Tecno Camon 20 Pro,Smartphone,Tecno,299,35,4.3
149,Tecno Camon 30 Pro,Smartphone,Tecno,349,30,4.5
150,Infinix Zero Ultra,Smartphone,Infinix,399,25,4.3
151,Infinix Note 30 Pro,Smartphone,Infinix,249,40,4.2
152,Infinix Note 40 Pro,Smartphone,Infinix,299,35,4.4
153,Infinix GT 20 Pro,Smartphone,Infinix,349,30,4.5
